"fed_2012","licences","ratio","age","sex","federation"
123,462,63.918096292197,"5_9","h","Fédération Française de tennis"
123,549,8.91827352621063,"20_29","all","Fédération Française de tennis"
123,3723,27.6188992499944,"all","h","Fédération Française de tennis"
123,1399,101.612434631028,"10_14","all","Fédération Française de tennis"
123,363,11.9494370926328,"20_29","h","Fédération Française de tennis"
123,443,64.7945005119204,"10_14","f","Fédération Française de tennis"
123,455,20.1202794728929,"45_59","h","Fédération Française de tennis"
123,151,12.2604741799285,"60_74","h","Fédération Française de tennis"
123,165,22.9294052251251,"5_9","f","Fédération Française de tennis"
123,682,14.0520047801541,"45_59","all","Fédération Française de tennis"
123,30,4.05789260110916,"75_99","h","Fédération Française de tennis"
123,0,0,"0_4","f","Fédération Française de tennis"
123,779,36.3153232949513,"15_19","all","Fédération Française de tennis"
123,263,23.2393743925068,"15_19","f","Fédération Française de tennis"
123,217,7.42260988541132,"60_74","all","Fédération Française de tennis"
123,66,3.90070921985816,"60_74","f","Fédération Française de tennis"
123,186,5.96517109778391,"20_29","f","Fédération Française de tennis"
123,338,12.275731822474,"30_44","f","Fédération Française de tennis"
123,1126,19.800239150313,"30_44","all","Fédération Française de tennis"
123,10,0.655522779416585,"75_99","f","Fédération Française de tennis"
123,1699,11.3145977623868,"all","f","Fédération Française de tennis"
123,40,1.76616036736136,"75_99","all","Fédération Française de tennis"
124,38,5.25733259546209,"5_9","h","Fédération Française de tennis de Table"
124,0,0,"0_4","h","Fédération Française de tennis de Table"
124,110,10.8545490428261,"15_19","h","Fédération Française de tennis de Table"
124,194,27.9861511829198,"10_14","h","Fédération Française de tennis de Table"
124,870,6.45405381345559,"all","h","Fédération Française de tennis de Table"
124,975,3.42154485382108,"all","all","Fédération Française de tennis de Table"
124,4,0.236406619385343,"60_74","f","Fédération Française de tennis de Table"
124,44,3.05047143649473,"5_9","all","Fédération Française de tennis de Table"
124,197,6.71575646008045,"30_44","h","Fédération Française de tennis de Table"
